"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 26 00:36:01 GMT 2024","Sat Oct 26 00:36:13 GMT 2024","12289","hil.esp-idf.esp32s3_devkitc_espidf","test_settings","","","","test_int_too_large",""
"passed","Sat Oct 26 01:02:16 GMT 2024","Sat Oct 26 01:02:24 GMT 2024","8683","sample.esp-idf.esp32s3_devkitc_espidf","test_sample","","","","test_rpc",""
"failed","Sat Oct 26 00:46:19 GMT 2024","Sat Oct 26 00:46:54 GMT 2024","34992","hil.zephyr.nrf9160dk","test_ota","","","","test_reason_and_state",""
"passed","Sat Oct 26 00:25:25 GMT 2024","Sat Oct 26 00:25:32 GMT 2024","6528","hil.zephyr.native_sim_64","test_lightdb","","","","test_lightdb_observed",""
"passed","Sat Oct 26 00:34:32 GMT 2024","Sat Oct 26 00:34:33 GMT 2024","981","hil.esp-idf.esp32_devkitc_wrover_espidf","test_rpc","","","","test_object_return",""
"passed","Sat Oct 26 00:30:04 GMT 2024","Sat Oct 26 00:30:25 GMT 2024","21008","sample.zephyr.native_sim_32","test_sample","","","","test_stream",""
"passed","Sat Oct 26 00:25:37 GMT 2024","Sat Oct 26 00:25:39 GMT 2024","1755","hil.linux.linux","test_settings","","","","test_set_float_whole",""
"passed","Sat Oct 26 00:50:44 GMT 2024","Sat Oct 26 00:50:49 GMT 2024","5124","hil.zephyr.rak5010","test_settings","","","","test_set_string",""
"passed","Sat Oct 26 00:25:36 GMT 2024","Sat Oct 26 00:25:37 GMT 2024","1787","hil.linux.linux","test_settings","","","","test_set_float",""
"passed","Sat Oct 26 00:25:23 GMT 2024","Sat Oct 26 00:25:23 GMT 2024","497","hil.zephyr.native_sim_64","test_rpc","","","","test_string_return",""
"broken","Sat Oct 26 00:44:38 GMT 2024","Sat Oct 26 00:44:38 GMT 2024","0","hil.zephyr.mimxrt1024_evk","test_ota","","","","test_reason_and_state",""
"passed","Sat Oct 26 00:36:51 GMT 2024","Sat Oct 26 00:37:20 GMT 2024","29654","hil.esp-idf.esp32c3_devkitm_espidf","test_settings","","","","test_cancel_all",""
"passed","Sat Oct 26 00:47:52 GMT 2024","Sat Oct 26 00:48:33 GMT 2024","41107","hil.zephyr.nrf9160dk","test_rpc","","","","test_observation_repeat_restart",""
"passed","Sat Oct 26 00:25:25 GMT 2024","Sat Oct 26 00:25:25 GMT 2024","129","hil.zephyr.native_sim_32","test_lightdb","","","","test_lightdb_invalid",""
"passed","Sat Oct 26 00:47:44 GMT 2024","Sat Oct 26 00:47:45 GMT 2024","1001","hil.zephyr.nrf9160dk","test_rpc","","","","test_object_return",""
"passed","Sat Oct 26 00:45:12 GMT 2024","Sat Oct 26 00:45:12 GMT 2024","671","hil.zephyr.mimxrt1024_evk","test_rpc","","","","test_no_args",""
